Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rfbb,Vishay-Dale,CRCW040266K5FKED,1,0.01,3,Resistance: 66.5 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbt,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
L1,Coilcraft,XAL6060-822MEB,1,0.82,71.56,L: 8.2 µH  DCR: 24 mΩ  IDC: 8 A  
Cout,MuRata,GRM32ER60J107ME20L,2,0.52,14.7,Cap: 100 µF  Total Derated Cap: 150 µF  VDC: 6.3 V  ESR: 1 mΩ  Package: 1210  
Cin_ch1,MuRata,GRM31CR71H475KA12L,1,0.22,10.92,Cap: 4.7 µF  Total Derated Cap: 2.9 µF  VDC: 50 V  ESR: 3 mΩ  Package: 2220  
Cinx,MuRata,GRM188R72A104KA35D,1,0.05,4.68,Cap: 100 nF  Total Derated Cap: 82 nF  VDC: 100 V  ESR: 1 mΩ  Package: 0603  
Cboot,MuRata,GRM155R71C104KA88D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Cin,MuRata,GRM31CR71H475KA12L,1,0.22,10.92,Cap: 4.7 µF  Total Derated Cap: 2.9 µF  VDC: 50 V  ESR: 3 mΩ  Package: 2220  
Cinx_ch1,MuRata,GRM188R72A104KA35D,1,0.05,4.68,Cap: 100 nF  Total Derated Cap: 82 nF  VDC: 100 V  ESR: 1 mΩ  Package: 0603  
Coutx,TDK,CGA3E2X7R1H104K080AA,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 50 V  ESR: 29.6 mΩ  Package: 0603  
Cvcc,Kemet,C0603C105K8PACTU,1,0.01,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 10 V  ESR: 1 mΩ  Package: 0603  
U1,Texas Instruments,LMR33630AQRNXRQ1,1,0.88,12,
Rpg,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cff,MuRata,GRM1555C1H270JA01D,1,0.01,3,Cap: 27 pF  Total Derated Cap: 27 pF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  
