NIWA SolarView Calculations,,,,,,,,,
29-Jul-20,,,,,,,,,
,,,,,,,,,
Description,Custom location,,,,,,,,
Latitude,-41.33,,,,,,,,
Longitude,174.71,,,,,,,,
Panel Tilt,35,,,,,,,,
Bearing,0,,,,,,,,
Ground Albedo,0.1,,,,,,,,
Climate Zone,WN,Wellington,,,,,,,
Years of Data,18,,,,,,,,
,,,,,,,,,
Month,Day,Hour,Temperature,Rel. Hum.,Wind speed,Tilted Irr.,,Average ,
,,,¡C,%,m/s,W/m2,,89.53571429,
6,19,0,11.5,84,7.2,0,,Peak,
6,19,1,11.8,81,6.6,0,,2.148857143,
6,19,2,11.8,80,7.7,0,,,
6,19,3,11.4,80,4.6,0,,peak sun plot,
6,19,4,11.4,77,6.1,0,,0,0
6,19,5,11.5,76,5.6,0,,0,1000
6,19,6,11.6,75,6.1,0,,2.148857143,1000
6,19,7,11.7,75,6.6,0,,2.148857143,0
6,19,8,11.9,75,5.6,24,,,
6,19,9,12.5,75,5.6,102,,,
6,19,10,13.1,75,5.6,216,,,
6,19,11,13.5,76,5.1,265,,,
6,19,12,13.8,74,9.2,347,,,
6,19,13,13.8,73,7.7,180,,,
6,19,14,13.3,75,6.6,457,,,
6,19,15,13.1,74,6.1,139,,,
6,19,16,12.4,77,6.6,14,,,
6,19,17,12,76,6.1,0,,,
6,19,18,11.6,78,5.6,0,,,
6,19,19,11.6,78,6.1,0,,,
6,19,20,11.1,79,4.1,0,,,
6,19,21,10.8,81,2.5,0,,,
6,19,22,10.2,83,1.5,0,,,
6,19,23,9.6,88,3,0,,,
6,20,0,9.6,89,3.6,0,,,
6,20,1,9,89,4.1,0,,,
6,20,2,8.7,89,3,0,,,
6,20,3,8.3,90,3,0,,,
6,20,4,8,92,2,0,,,
6,20,5,8.3,92,1,0,,,
6,20,6,7.8,89,1.5,0,,,
6,20,7,7.9,90,1.5,3,,,
6,20,8,8.5,90,3,102,,,
6,20,9,10.1,86,4.6,438,,,
6,20,10,10.4,82,4.6,606,,,
6,20,11,11.3,82,5.1,521,,,
6,20,12,12,76,5.1,454,,,
6,20,13,13.4,69,7.7,674,,,
6,20,14,13.3,68,8.7,419,,,
6,20,15,12.3,74,6.6,211,,,
6,20,16,11.5,75,7.2,67,,,
6,20,17,11.4,77,6.1,0,,,
6,20,18,11.4,77,6.6,0,,,
6,20,19,11.2,79,6.1,0,,,
6,20,20,10.3,80,5.6,0,,,
6,20,21,10.3,80,6.1,0,,,
6,20,22,10.3,80,7.7,0,,,
6,20,23,10.4,79,8.7,0,,,
 ,21,0,10.5,77,9.2,0,,,
6,21,1,10.7,77,8.7,0,,,
6,21,2,10.7,77,8.2,0,,,
6,21,3,10.9,75,7.7,0,,,
6,21,4,11.3,72,8.7,0,,,
6,21,5,11.7,71,9.2,0,,,
6,21,6,12,70,10.8,0,,,
6,21,7,12.4,70,9.2,0,,,
6,21,8,12.9,69,8.7,20,,,
6,21,9,12.7,73,9.2,56,,,
6,21,10,13.4,74,9.2,105,,,
6,21,11,13,78,12.3,60,,,
6,21,12,13.2,79,9.7,86,,,
6,21,13,13.1,81,8.2,80,,,
